RaceNumber,Class,Track,Distance,HorseName,Jockey,Top3_Prediction,0,1
1,CLASS 5,POLYTRACK,1200M,HAPPY FRIDAY,T SEE,0,0.61,0.39
1,CLASS 5,POLYTRACK,1200M,WAWASAN,APP R ISKANDAR,1,0.4,0.6
1,CLASS 5,POLYTRACK,1200M,SUPER POSH,APP F YUSOFF,0,0.9,0.1
1,CLASS 5,POLYTRACK,1200M,HYDE PARK,D BEASLEY,0,0.53,0.47
1,CLASS 5,POLYTRACK,1200M,ARION PASSION,R STEWART,0,0.65,0.35
1,CLASS 5,POLYTRACK,1200M,SUN STEP,APP T KRISNA,0,0.71,0.29
1,CLASS 5,POLYTRACK,1200M,BIG FORTUNE,APP K FAIZ,0,0.96,0.04
1,CLASS 5,POLYTRACK,1200M,TESORO PIRATA,M LERNER,0,0.69,0.31
1,CLASS 5,POLYTRACK,1200M,PAPERBACK TROOPER,S SHAFRIZAL,0,0.76,0.24
1,CLASS 5,POLYTRACK,1200M,LEGACY ROAR,K A'ISISUHAIRI,0,0.89,0.11
1,CLASS 5,POLYTRACK,1200M,SUPER GENEROUS,TH KOH,0,0.84,0.16
1,CLASS 5,POLYTRACK,1200M,GOLD CUT,N ZYRUL,0,0.74,0.26
