RaceDate,RaceNumber,Class,Track,Distance,Placing,Top3,Top4,Barrier,HorseName,H_Weight,H_Rating,Jockey,Trainer,FinishTime,FinishTimeInMS,Owner,H_Age,OverallRanking,PunterWay,ShinMin,NewPaper,TurfGuide,StraitsTimes,WanBao
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,1,1,1,B9,ELITE BEAST,W506,R47,M LERNER,J TAN,01:13.3,73340,UNKNOWN,1Y,1,2,1,1,2,99,99
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,2,1,2,B8,THE NEXT WAVE,W556,R44,APP K HAKIM,M WALKER,01:13.4,73400,V. V. ABDULLAH S/O ABOO BAKKER,1Y,99,99,99,99,99,99,99
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,3,1,3,B6,SILVER WAY,W491,R48,APP N ZYRUL,J ONG,01:13.4,73410,UNKNOWN,1Y,99,99,99,99,3,99,99
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,4,0,4,B10,HOUSEHOLD DYNASTY,W478,R46,R MAIA,CT KUAH,01:13.6,73580,RAYNOLD SIM ANG HIN,5Y,4,99,2,3,4,99,99
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,5,0,99,B1,PIONEER SEVEN,W530,R48,APP R ISKANDAR,ZL MOK,01:13.6,73600,UNKNOWN,1Y,99,3,4,4,99,99,4
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,6,0,99,B3,HEARTLIGHT,W505,R48,S NOH,L KHOO,01:14.0,74010,UNKNOWN,1Y,2,1,99,2,99,99,2
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,7,0,99,B2,SUPER BB,W526,R48,APP WH KOK,J LIM,01:14.1,74090,GOOD BB STABLE,1Y,99,99,99,99,99,99,99
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,8,0,99,B7,LIM'S RHYTHM,W494,R42,APP CK NG,M WALKER,01:14.2,74190,DAVID KOK TEIK WAI,7Y,99,99,99,99,99,99,99
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,9,0,99,B5,HELUSHKA,W468,R42,R WOODWORTH,HW TAN,01:14.3,74260,IB RACING STABLE,6Y,99,4,3,99,99,99,3
2/1/2020 0:00,1,CLASS 5,POLYTRACK,1200M,10,0,99,B4,WINNING HAMMER,W480,R44,A COLLETT,HW TAN,01:14.7,74720,INDIA HORSE CLUB STABLE,6Y,3,99,99,99,1,99,1
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,1,1,1,B10,SHANTI,W506,R20,A COLLETT,M CLEMENTS,01:10.0,69990,UNKNOWN,1Y,2,3,2,2,99,99,3
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,2,1,2,B14,WAR PRIDE,W484,R20,APP N ZYRUL,J ONG,01:10.0,70010,WARPLAN RACING STABLE,5Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,3,1,3,B5,IN ALL HIS GLORY,W533,R20,M RODD,C BROWN,01:10.3,70330,BULLDOGS RACING STABLE,5Y,1,1,1,1,2,99,1
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,4,0,4,B13,KING'S COMMAND,W486,R20,R MAIA,S BAERTSCHIGER,01:10.3,70340,MA RACING & HI VIS STABLE,5Y,4,2,4,99,99,99,2
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,5,0,99,B7,LIM'S SPIN,W486,R20,V DURIC,S GRAY,01:10.4,70360,LIM'S STABLE,5Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,6,0,99,B11,STORMY VIEW,W463,R50,R MUNGER,R LE GRANGE,01:10.4,70430,UNKNOWN,1Y,99,99,99,4,4,99,4
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,7,0,99,B12,SKY EYE,W553,R20,S JOHN,L DRAGON,01:10.5,70520,GAN GIM CHUAN,5Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,8,0,99,B2,SMOKE AND MIRRORS,W455,R49,P MOLONEY,DL FREEDMAN,01:10.6,70580,WARPLAN RACING STABLE,5Y,3,99,3,3,1,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,9,0,99,B4,DESTINY CHILD,W494,R55,APP WH KOK,S BAERTSCHIGER,01:10.6,70620,AD STABLE,1Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,10,0,99,B3,ROCKET PEGASUS,W536,R20,D MOOR,C BROWN,01:10.7,70730,SARKAR GOLDEN STABLE,1Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,11,0,99,B1,DRAGON RYKER,W487,R55,JP VAN DER MERWE,C BROWN,01:10.8,70800,TEAM CHEVAL STABLE,5Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,12,0,99,B6,TWELFTH NIGHT,W450,R20,M LERNER,H TAKAOKA,01:10.8,70810,BIG VALLEY NO 5 STABLE,5Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,13,0,99,B8,BOOM ALMIGHTY,W427,R44,CS CHIN,J TAN,01:10.8,70820,RICHARD VICTOR LINES,1Y,99,99,99,99,99,99,99
2/1/2020 0:00,2,MAIDEN,TURF TRACK,1200M,14,0,99,B9,ANYWAY,W506,R20,APP S SHAFRIZAL,S BAERTSCHIGER,01:11.9,71890,UNCLE HO STABLE,5Y,99,99,99,99,99,99,99
